week,ATMs,Child abuse material,Darknet markets,Exchanges,Gambling,High risk exchanges,High risk jurisdictions,Hosted wallets,ICOs,Merchant services,Mining,Mixing,Other,P2P exchanges,Ransomware,Sanctions,Scams,Stolen funds,Terrorism financing,Unnamed services
2020-08-10/2020-08-16,350689,57.5,4691070,15188149,92128,5656614,1442,213605.5,7.5,332869,446291.5,796323,11429,4829523,83036,8,67927,88216.5,0,2121013.5
2020-08-17/2020-08-23,321046,0,8172108,16022291.5,70838.5,5622149,1514,220954,0,284116.5,360296,518100.5,12400.5,5127957.5,67905.5,114.5,48973,157188.5,1,1681001.5
2020-08-24/2020-08-30,313739,0,5231277,19027092,92259,5172324.5,3207.5,179580.5,0,313900.5,291871.5,433284,12302.5,4966152.5,53515.5,6,47570.5,634456.5,0,1381187.5
2020-08-31/2020-09-06,309475,0,4654324,16958476.5,122477,4658503,682,206112.5,0,310474.5,314180,419606.5,42848.5,4585547.5,148112,5.5,46454,716189,0,1711698.5
2020-09-07/2020-09-13,242563.5,0,3605802.5,16621616,78530,4843825.5,2094,150276,0,297536.5,228902.5,467278.5,15068,4602033.5,70565.5,0,30629.5,631087.5,0,1550408
2020-09-14/2020-09-20,228755,0,3988881,15224498.5,105396.5,4578905,756.5,179989,1,384536,294537.5,419240.5,9364,4659595,75197.5,2,69883,447822.5,0,1156536
2020-09-21/2020-09-27,216698,17,4745205.5,15896484,80035.5,4665031.5,785,249952.5,0,371462.5,260031.5,441739,10993.5,4387434.5,79508,1,45062.5,349261,1,1185451
2020-09-28/2020-10-04,226418.5,3,4521256.5,15252616.5,135318.5,4749317.5,629.5,194349.5,1,384974.5,311858.5,572829.5,6042.5,4185232,73464.5,3,66462,409975.5,0,1515942.5
2020-10-05/2020-10-11,244994.5,0,3938310,15769005.5,120085,4949395.5,421,213258,0,371988,318175,498296,6936.5,4294149,167761,0,68840,608629,1,1569082
2020-10-12/2020-10-18,276959,0,3993610.5,15059219.5,102938,6305873,2364.5,185289,0,402975,402203,532730,8147,4437287.5,49315.5,3,127790,551201.5,0,1682847.5
2020-10-19/2020-10-25,267872.5,0,5092751.5,15911329.5,152594.5,5796636,2363.5,172824.5,2,366315,405240.5,416059.5,10718.5,3063623,41875.5,0,292773,837845.5,0,1722351
2020-10-26/2020-11-01,295846.5,0,10456100,14437475,138517.5,5390152.5,1815,246138.5,1,318932,383051.5,537847.5,15622,2127343.5,149116,0,111577.5,947468.5,0,1713684.5
2020-11-02/2020-11-08,258738,0,4077287.5,14727514.5,112857.5,5611972.5,1172,225933.5,0,458258,492245.5,1107802.5,13503,2008729.5,134681.5,0,157917,1027659,0,1748731.5
2020-11-09/2020-11-15,270923,4.5,4017040,15915644.5,110712.5,5908749.5,3103.5,220505.5,1.5,502695,635848,1137447.5,28588.5,1818980.5,92146,3,153259,1021696,0,1967206
2020-11-16/2020-11-22,268652,0,3878820.5,15218176.5,117488.5,5320612.5,856,209735.5,1.5,417965,637692.5,607254.5,16023.5,1637736,105770.5,0,93958,1225273,0,1907844.5
2020-11-23/2020-11-29,246290,0,4118010,14231318.5,92181.5,6329958,2338.5,178294.5,1.5,356306.5,645548.5,1530153.5,13721,1608543,101029,1.5,99260,1272846.5,0,1267820.5
2020-11-30/2020-12-06,251620,0,4237806,16186407.5,133247,5622067.5,1289,175963,12,479713.5,561536,1298483.5,30614.5,1579869.5,59696,7,109234.5,1349753,0,1434251
2020-12-07/2020-12-13,265432,0,3212879,16945520,135931.5,6311396.5,888.5,161968,30.5,319861,439199,740655.5,20563,1392004.5,34695.5,0,68133.5,1408279.5,0,2145466.5
2020-12-14/2020-12-20,278174,0,3744131.5,16392586,82921.5,6129683.5,918.5,191307,9,293311.5,601131,920835,15824.5,1861146,76179,3.5,99561,1580946,0,2550537.5
2020-12-21/2020-12-27,251392,0,4836906.5,13564301,123024.5,6794997,1166,191692.5,0,347574,557545,1221278.5,10484,1713066,53063,2,128116,1805591.5,0,3231354
2020-12-28/2021-01-03,121933,122,3630268.5,8444135.5,67900,4449318,1521.5,122000,0,257933,412958,1398033.5,63041,1218083.5,29409,5,56236,1014824,0,1451001
